,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,Type
41,45,11,0.5,0.9,0.75,unique
53,45,18,0.1,0.9,0.25,unique
94,45,4,0.1,0.8,0.5,unique
121,45,11,0.1,0.8,0.25,unique
130,45,11,0.1,0.8,0.5,unique
157,45,25,0.1,0.8,0.5,unique
175,45,25,0.1,0.8,1.0,unique
190,25,18,0.1,1.0,0.75,unique
224,25,25,0.1,0.8,0.75,unique
286,25,11,0.1,0.8,0.75,unique
305,25,18,0.1,0.9,0.25,unique
307,25,18,0.3,0.8,0.25,unique
332,25,4,0.1,0.8,0.5,unique
341,25,4,0.1,0.8,0.75,unique
428,5,25,0.1,0.8,1.0,unique
446,5,32,0.1,0.8,0.5,unique
455,5,32,0.1,0.8,0.75,unique
488,5,18,0.3,0.8,0.25,unique
503,5,18,0.1,0.8,0.75,unique
512,5,18,0.1,0.8,1.0,unique
11,65,4,0.1,1.0,0.5,replication
34,65,4,0.5,0.9,1.0,replication
48,45,11,0.3,1.0,1.0,replication
69,45,18,0.5,1.0,0.5,replication
89,45,4,0.3,0.9,0.25,replication
95,45,4,0.1,0.9,0.5,replication
97,45,4,0.3,0.8,0.5,replication
100,45,4,0.5,0.8,0.5,replication
123,45,11,0.1,1.0,0.25,replication
140,45,11,0.1,0.9,0.75,replication
161,45,25,0.3,0.9,0.5,replication
170,45,25,0.3,0.9,0.75,replication
187,45,32,0.3,0.8,0.25,replication
208,25,25,0.1,1.0,0.25,replication
250,25,32,0.5,1.0,0.25,replication
268,25,32,0.5,1.0,0.75,replication
280,25,11,0.3,0.8,0.5,replication
297,25,11,0.1,1.0,1.0,replication
312,25,18,0.5,1.0,0.25,replication
335,25,4,0.3,0.8,0.5,replication
353,25,4,0.3,0.8,1.0,replication
366,25,11,0.5,0.9,0.25,replication
383,5,4,0.5,0.8,0.5,replication
391,5,4,0.3,1.0,0.75,replication
409,5,11,0.3,1.0,0.25,replication
425,5,11,0.3,0.8,0.75,replication
480,5,11,0.3,0.9,1.0,replication
481,5,11,0.3,1.0,1.0,replication
496,5,18,0.1,1.0,0.5,replication
535,5,25,0.3,1.0,0.5,replication
